company_name,job_title,job_link,date_scraped
Digital Janet,Software Developer,https://www.linkedin.com/jobs/view/software-developer-at-digital-janet-4001225929?position=1&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=HRcbn9fTWfVx6y4w8yCHgA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Marlee (Fingerprint For Success),Expression of Interest - Front End Engineer,https://www.linkedin.com/jobs/view/expression-of-interest-front-end-engineer-at-marlee-fingerprint-for-success-3999318631?position=5&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=jeAFMxJOqA4aBr69jmiJow%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Dapper Labs,Backend Engineer,https://www.linkedin.com/jobs/view/backend-engineer-at-dapper-labs-4000175876?position=7&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=bXwYicm1bl4TstAg21zDJQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Marlee (Fingerprint For Success),Expression of Interest - Software Engineer,https://www.linkedin.com/jobs/view/expression-of-interest-software-engineer-at-marlee-fingerprint-for-success-3999315772?position=10&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=9L5SONiixkC9Qpsd5aC0UA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Marlee (Fingerprint For Success),Expression of Interest - Full-Stack Engineer,https://www.linkedin.com/jobs/view/expression-of-interest-full-stack-engineer-at-marlee-fingerprint-for-success-3999322047?position=11&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=DjhHSUzCzvyuZUo6a68HUg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Imagine Pediatrics,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-imagine-pediatrics-4000164195?position=14&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=ClbA0cqbxhv59qB01q4PuA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
LHH,Frontend Developer,https://www.linkedin.com/jobs/view/frontend-developer-at-lhh-3999615551?position=17&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=fq%2FYGH4SBBjA1KtppU0leQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
Lighthouse,Software Development Engineer I,https://www.linkedin.com/jobs/view/software-development-engineer-i-at-lighthouse-3998505038?position=18&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=myUFzSZZCgzLvCtx92g7kA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
KnowBe4,Full Stack Developer (Remote),https://www.linkedin.com/jobs/view/full-stack-developer-remote-at-knowbe4-3967712257?position=19&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=SjbxmksopsJqMxlV7vqvXw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
SnapTryAI,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-snaptryai-3999397548?position=20&pageNum=0&refId=KZzRnqUqhPvnmZuYVEg1CA%3D%3D&trackingId=KODds8iVzBPQ92M%2FvB59PA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-08-16 04:22:49.524319
